"","year","ageGroup","sex","cause","deaths"
"707",2007,"25 to 29","Male","Asthma",1
"708",2007,"25 to 29","Female","Asthma",0.8
"709",2011,"20 to 24","Male","Asthma",864.3
"710",2011,"20 to 24","Female","Asthma",645.5
"711",2012,"15 to 19","Female","Asthma",504.2
"712",2008,"10 to 14","Female","Asthma",557
"713",2013,"30 to 34","Female","Asthma",1016
"716",2004,"45 to 49","Female","Asthma",5408.9
"717",2013,"10 to 14","Female","Asthma",0.8
"718",2008,"5 to 9","Male","Asthma",0.8
"720",2013,"15 to 19","Female","Asthma",0.9
"729",2010,"80 plus","Male","Asthma",2.3
"731",2005,"60 to 64","Female","Asthma",79.4
"732",2006,"70 to 74","Male","Asthma",215.2
"735",2007,"60 to 64","Female","Asthma",76.2
"738",2011,"60 to 64","Male","Asthma",2.6
"742",2005,"40 to 44","Female","Asthma",9.3
"743",2008,"45 to 49","Female","Asthma",18.3
"744",2004,"30 to 34","Male","Asthma",0.7
"745",2012,"45 to 49","Male","Asthma",1.5
"747",2007,"30 to 34","Female","Asthma",1
"748",2009,"25 to 29","Female","Asthma",0.8
"750",2012,"15 to 19","Male","Asthma",456.1
"752",2013,"20 to 24","Male","Asthma",859.6
"753",2008,"15 to 19","Female","Asthma",567.9
"754",2008,"20 to 24","Male","Asthma",886.3
"755",2009,"45 to 49","Male","Asthma",4431.5
"756",2008,"50 to 54","Male","Asthma",5291.3
"761",2012,"10 to 14","Female","Asthma",0.9
"769",2009,"75 to 79","Female","Asthma",3.5
"771",2011,"70 to 74","Female","Asthma",195.4
"772",2004,"40 to 44","Male","Asthma",1.4
"774",2006,"65 to 69","Male","Asthma",157.7
"776",2004,"35 to 39","Female","Asthma",1.9
"777",2011,"60 to 64","Female","Asthma",3.6
"784",2011,"45 to 49","Male","Asthma",1.5
"786",2012,"40 to 44","Male","Asthma",1.4
"787",2008,"25 to 29","Female","Asthma",0.8
"788",2008,"30 to 34","Male","Asthma",0.7
"789",2008,"25 to 29","Male","Asthma",1
"790",2012,"75 to 79","Female","Asthma",16198.2
"791",2012,"75 to 79","Male","Asthma",13491
"794",2004,"1 to 4","Male","Asthma",1364.6
"796",2009,"50 to 54","Male","Asthma",5252.7
"798",2013,"45 to 49","Male","Asthma",4589.9
"800",2010,"50 to 54","Female","Asthma",5346.1
"801",2013,"55 to 59","Male","Asthma",10254.8
"803",2009,"65 to 69","Male","Asthma",16762.2
"811",2008,"80 plus","Male","Asthma",2.4
"812",2005,"65 to 69","Female","Asthma",122.4
"816",2005,"55 to 59","Male","Asthma",47.5
"819",2012,"60 to 64","Male","Asthma",2.6
"820",2005,"45 to 49","Male","Asthma",14.7
"822",2006,"35 to 39","Male","Asthma",1.3
"823",2008,"40 to 44","Female","Asthma",2.4
"825",2012,"35 to 39","Female","Asthma",2.1
"826",2010,"75 to 79","Female","Asthma",15481.4
"827",2004,"25 to 29","Female","Asthma",0.8
"830",2006,"20 to 24","Male","Asthma",0.7
"831",2012,"70 to 74","Female","Asthma",19047.9
"833",2011,"75 to 79","Female","Asthma",15793.1
"834",2012,"80 plus","Male","Asthma",14735.3
"837",2004,"30 to 34","Male","Asthma",1096.8
"842",2013,"15 to 19","Male","Asthma",0.7
"855",2012,"70 to 74","Male","Asthma",191.6
"862",2007,"45 to 49","Female","Asthma",18.7
"863",2007,"35 to 39","Female","Asthma",2
"864",2011,"40 to 44","Female","Asthma",2.5
"870",2010,"70 to 74","Male","Asthma",15939.1
"872",2010,"80 plus","Male","Asthma",14158.9
"873",2012,"25 to 29","Male","Asthma",2.7
"874",2011,"75 to 79","Male","Asthma",13153.7
"876",2011,"40 to 44","Female","Asthma",3049.8
"892",2004,"55 to 59","Female","Asthma",3.4
"894",2005,"80 plus","Female","Asthma",472.6
"898",2008,"70 to 74","Female","Asthma",203
"899",2004,"50 to 54","Female","Asthma",23
"908",2010,"15 to 19","Female","Asthma",1
"909",2008,"40 to 44","Male","Asthma",1.3
"910",2008,"30 to 34","Female","Asthma",1
"911",2006,"20 to 24","Female","Asthma",0.6
"915",2013,"15 to 19","Female","Asthma",490.5
"918",2013,"35 to 39","Male","Asthma",2946.5
"920",2007,"30 to 34","Male","Asthma",1087.1
"921",2007,"45 to 49","Male","Asthma",4425.2
"922",2006,"1 to 4","Male","Asthma",2.2
"923",2012,"50 to 54","Male","Asthma",5267.1
"925",2006,"65 to 69","Male","Asthma",17023.8
"926",2006,"10 to 14","Male","Asthma",0.8
"934",2007,"70 to 74","Male","Asthma",212.1
"938",2012,"80 plus","Female","Asthma",3
"943",2008,"45 to 49","Male","Asthma",13.7
"946",2010,"75 to 79","Female","Asthma",264.1
"949",2012,"15 to 19","Female","Asthma",0.9
"950",2009,"70 to 74","Male","Asthma",15933.5
"954",2010,"70 to 74","Female","Asthma",18793.1
"955",2011,"80 plus","Male","Asthma",14298.9
"956",2007,"20 to 24","Male","Asthma",883.1
"957",2009,"50 to 54","Male","Asthma",18.6
"959",2013,"45 to 49","Male","Asthma",12.9
"960",2005,"15 to 19","Male","Asthma",561.7
"961",2005,"15 to 19","Female","Asthma",629.3
"963",2004,"35 to 39","Male","Asthma",2666.8
"975",2012,"75 to 79","Female","Asthma",3.5
"976",2006,"80 plus","Male","Asthma",411.4
"979",2006,"70 to 74","Female","Asthma",206.8
"980",2008,"75 to 79","Female","Asthma",3.5
"982",2010,"65 to 69","Male","Asthma",3.1
"983",2009,"40 to 44","Female","Asthma",2.5
"990",2008,"40 to 44","Female","Asthma",8.8
"993",2011,"30 to 34","Female","Asthma",1
"997",2013,"35 to 39","Male","Asthma",6.5
"998",2011,"55 to 59","Male","Asthma",40.5
"999",2013,"55 to 59","Male","Asthma",39.8
"1001",2009,"30 to 34","Male","Asthma",1125
"1002",2005,"30 to 34","Male","Asthma",1082.8
"1004",2012,"50 to 54","Female","Asthma",5311.7
"1005",2010,"10 to 14","Female","Asthma",1.1
"1006",2013,"55 to 59","Female","Asthma",9266
"1007",2004,"50 to 54","Female","Asthma",5221.2
"1011",2004,"75 to 79","Male","Asthma",3.2
"1022",2004,"40 to 44","Female","Asthma",2.4
"1026",2011,"80 plus","Female","Asthma",441.6
"1028",2007,"65 to 69","Male","Asthma",152.6
"1029",2008,"1 to 4","Male","Asthma",0.7
"1032",2011,"35 to 39","Female","Asthma",2.1
"1035",2010,"80 plus","Female","Asthma",20910.3
"1036",2013,"30 to 34","Female","Asthma",2.1
"1038",2006,"80 plus","Female","Asthma",18197.6
"1039",2009,"50 to 54","Female","Asthma",20
"1040",2013,"45 to 49","Female","Asthma",16.8
"1041",2009,"65 to 69","Female","Asthma",119.8
"1042",2006,"20 to 24","Female","Asthma",700.6
"1043",2006,"25 to 29","Male","Asthma",1458.1
"1044",2013,"45 to 49","Female","Asthma",5659.3
"1048",2005,"1 to 4","Male","Asthma",2.4
"1058",2010,"65 to 69","Female","Asthma",14876.1
"1059",2011,"80 plus","Female","Asthma",2.9
"1060",2010,"65 to 69","Male","Asthma",16705.8
"1063",2007,"65 to 69","Female","Asthma",121.8
"1064",2005,"70 to 74","Male","Asthma",220.8
"1065",2006,"75 to 79","Female","Asthma",275.4
"1066",2012,"10 to 14","Male","Asthma",0.8
"1068",2013,"5 to 9","Female","Asthma",0.8
"1071",2010,"60 to 64","Female","Asthma",3.6
"1073",2009,"30 to 34","Male","Asthma",0.7
"1074",2012,"30 to 34","Female","Asthma",1.1
"1080",2011,"50 to 54","Male","Asthma",17.7
"1081",2011,"55 to 59","Female","Asthma",38.4
"1082",2004,"5 to 9","Female","Asthma",736.7
"1083",2007,"25 to 29","Female","Asthma",896
"1085",2010,"55 to 59","Male","Asthma",9788.2
"1086",2012,"1 to 4","Male","Asthma",0.7
"1098",2004,"70 to 74","Female","Asthma",3.8
"1101",2006,"65 to 69","Female","Asthma",14381
"1102",2013,"60 to 64","Male","Asthma",14174.5
"1105",2013,"15 to 19","Female","Asthma",0.6
"1106",2013,"80 plus","Male","Asthma",362.8
"1111",2013,"5 to 9","Female","Asthma",0.9
"1114",2011,"10 to 14","Male","Asthma",0.8
"1115",2006,"15 to 19","Male","Asthma",0.9
"1116",2009,"75 to 79","Male","Asthma",13030.6
"1118",2009,"75 to 79","Female","Asthma",15136.1
"1119",2009,"80 plus","Male","Asthma",13967.7
"1120",2011,"50 to 54","Female","Asthma",19.3
"1121",2013,"40 to 44","Female","Asthma",8
"1122",2011,"45 to 49","Female","Asthma",17.5
"1123",2008,"20 to 24","Female","Asthma",680.8
"1124",2006,"25 to 29","Female","Asthma",918.2
"1128",2013,"10 to 14","Male","Asthma",0.8
"1130",2013,"15 to 19","Male","Asthma",0.5
"1139",2004,"5 to 9","Female","Asthma",1.3
"1145",2004,"70 to 74","Male","Asthma",226.8
"1146",2012,"5 to 9","Female","Asthma",0.9
"1150",2006,"75 to 79","Male","Asthma",289.8
"1152",2011,"1 to 4","Male","Asthma",0.7
"1156",2004,"55 to 59","Female","Asthma",8045.9
"1159",2013,"30 to 34","Male","Asthma",2.3
"1163",2011,"60 to 64","Male","Asthma",75.4
"1165",2009,"1 to 4","Male","Asthma",1.9
"1166",2013,"1 to 4","Female","Asthma",0.7
"1167",2009,"1 to 4","Female","Asthma",2.6
"1169",2013,"10 to 14","Female","Asthma",1.1
"1174",2007,"60 to 64","Female","Asthma",11395.1
"1177",2009,"65 to 69","Female","Asthma",14961.3
"1181",2004,"55 to 59","Male","Asthma",8467.7
"1182",2009,"1 to 4","Female","Asthma",0.7
"1187",2013,"5 to 9","Male","Asthma",0.7
"1189",2012,"45 to 49","Female","Asthma",5657.2
"1190",2008,"35 to 39","Male","Asthma",2713
"1191",2012,"1 to 4","Male","Asthma",1.5
"1192",2011,"65 to 69","Male","Asthma",140.6
"1195",2006,"15 to 19","Male","Asthma",0.5
"1196",2005,"1 to 4","Female","Asthma",3.3
"1197",2007,"55 to 59","Female","Asthma",8324.2
"1200",2009,"80 plus","Female","Asthma",20195.5
"1204",2005,"10 to 14","Female","Asthma",662.7
"1205",2013,"35 to 39","Female","Asthma",2282.4
"1206",2013,"40 to 44","Female","Asthma",3024.4
"1208",2010,"5 to 9","Male","Asthma",0.8
"1212",2005,"50 to 54","Female","Asthma",5286.7
"1215",2012,"15 to 19","Male","Asthma",0.7
"1217",2004,"80 plus","Male","Asthma",2.6
"1218",2010,"5 to 9","Female","Asthma",0.8
"1219",2010,"10 to 14","Male","Asthma",0.8
"1220",2007,"1 to 4","Female","Asthma",2.9
"1221",2004,"70 to 74","Male","Asthma",3.3
"1226",2013,"1 to 4","Female","Asthma",1.9
"1227",2004,"65 to 69","Male","Asthma",3.5
"1229",2009,"75 to 79","Male","Asthma",2.9
"1232",2007,"35 to 39","Male","Asthma",2711.8
"1233",2012,"65 to 69","Male","Asthma",138.9
"1236",2007,"55 to 59","Male","Asthma",8859.4
"1237",2010,"35 to 39","Female","Asthma",2.1
"1239",2009,"15 to 19","Female","Asthma",1
"1240",2013,"70 to 74","Female","Asthma",19040.4
"1241",2013,"75 to 79","Male","Asthma",13842
"1242",2013,"50 to 54","Female","Asthma",18.2
"1244",2012,"60 to 64","Male","Asthma",75.1
"1251",2011,"5 to 9","Male","Asthma",0.7
"1253",2005,"55 to 59","Male","Asthma",8442.6
"1257",2009,"1 to 4","Male","Asthma",0.7
"1261",2008,"1 to 4","Female","Asthma",2.7
"1270",2004,"25 to 29","Female","Asthma",953.8
"1271",2013,"75 to 79","Female","Asthma",253.8
"1276",2012,"35 to 39","Male","Asthma",1.4
"1277",2007,"35 to 39","Male","Asthma",1.3
"1278",2004,"25 to 29","Female","Asthma",2.1
"1279",2007,"60 to 64","Male","Asthma",12019.3
"1283",2012,"80 plus","Female","Asthma",22958.2
"1284",2011,"45 to 49","Male","Asthma",13
"1286",2009,"40 to 44","Male","Asthma",3244.2
"1287",2008,"40 to 44","Male","Asthma",3212.5
"1288",2008,"45 to 49","Female","Asthma",5488.6
"1290",2011,"1 to 4","Female","Asthma",2.2
"1299",2007,"1 to 4","Male","Asthma",2.1
